Wall time,Step,Value
1691675339.8307393,1265,140.0
1691675424.8080351,1268,140.0
1691675442.4129052,1271,141.0
1691675465.8092568,1274,141.0
1691675538.180459,1277,141.0
1691675558.545119,1280,142.0
1691675580.3629375,1283,142.0
1691675652.7351918,1286,142.0
1691675668.9295378,1289,143.0
1691675687.1231966,1292,143.0
1691675767.3037171,1295,143.0
1691675787.8676198,1298,144.0
1691675805.9000697,1301,144.0
1691675881.8604865,1304,144.0
1691675906.860039,1307,145.0
1691675920.634784,1310,145.0
1691675996.2398434,1313,145.0
1691676014.4035041,1316,146.0
1691676033.2335901,1319,146.0
1691676110.396078,1322,146.0
1691676133.4194436,1325,147.0
1691676146.94042,1328,147.0
1691676224.968498,1331,147.0
1691676240.3369606,1334,148.0
1691676268.34801,1337,148.0
1691676342.640328,1340,148.0
1691676364.122029,1343,149.0
1691676382.9512727,1346,149.0
1691676460.0810924,1349,149.0
1691676473.2639012,1352,150.0
1691676496.0960271,1355,150.0
1691676576.6507916,1358,150.0
1691676595.3810942,1361,151.0
1691676614.6457856,1364,151.0
1691676691.629823,1367,151.0
1691676706.8962526,1370,152.0
1691676735.177305,1373,152.0
1691676807.9886572,1376,152.0
1691676833.0244262,1379,153.0
1691676851.751741,1382,153.0
1691676926.773839,1385,153.0
1691676945.947785,1388,154.0
1691676961.1429102,1391,154.0
1691677044.8301508,1394,154.0
1691677069.728579,1397,155.0
1691677088.729062,1400,155.0
1691677163.8778105,1403,155.0
1691677183.1787014,1406,156.0
1691677209.1727412,1409,156.0
1691677285.0131872,1412,156.0
1691677309.5459056,1415,157.0
1691677325.6630929,1418,157.0
1691677404.132472,1421,157.0
1691677425.8229883,1424,158.0
1691677445.3609707,1427,158.0
1691677523.281328,1430,158.0
1691677552.2855651,1433,159.0
1691677565.7790842,1436,159.0
1691677640.3204215,1439,159.0
1691677658.0431564,1442,160.0
1691677672.9812584,1445,160.0
1691677756.224138,1448,160.0
1691677778.1604035,1451,161.0
1691677793.4791787,1454,161.0
1691677871.0987353,1457,161.0
1691677894.6854389,1460,162.0
1691677913.4837677,1463,162.0
1691677986.2238743,1466,162.0
1691678005.2100053,1469,163.0
1691678026.4106824,1472,163.0
1691678104.1793256,1475,163.0
1691678123.9889476,1478,164.0
1691678141.406051,1481,164.0
1691678221.0655677,1484,164.0
1691678240.3758526,1487,165.0
1691678254.7593198,1490,165.0
1691678339.104241,1493,165.0
1691678352.6956484,1496,166.0
1691678376.1343906,1499,166.0
1691678455.2653015,1502,166.0
1691678473.654409,1505,167.0
1691678488.4982896,1508,167.0
1691678571.339093,1511,167.0
1691678591.3583055,1514,168.0
1691678611.4766185,1517,168.0
1691678690.2793658,1520,168.0
1691678704.9884105,1523,169.0
1691678730.138474,1526,169.0
1691678807.8821936,1529,169.0
1691678835.1973255,1532,170.0
1691678848.7336447,1535,170.0
1691678923.2529116,1538,170.0
1691678942.7087603,1541,171.0
1691678961.9332983,1544,171.0
1691679039.4851537,1547,171.0
1691679057.496783,1550,172.0
1691679074.879968,1553,172.0
